algorithm,generation style,point count,hull size,heuristic,duration (s)
jarvis march,rectangular,2097152,36,akl quadrilateral,66.5304798
jarvis march,rectangular,2097152,36,akl octahedral,317.6310369
graham scan,rectangular,2097152,36,no heuristic,1.4525139
graham scan,rectangular,2097152,36,akl quadrilateral,60.1163233
graham scan,rectangular,2097152,36,akl octahedral,317.3757505
jarvis march,circular,2097152,316742,no heuristic,96308.6722773
jarvis march,circular,2097152,316742,akl quadrilateral,96509.0109521
jarvis march,circular,2097152,316742,akl octahedral,96251.5214954
graham scan,circular,2097152,316742,no heuristic,88.469654301
graham scan,circular,2097152,316742,akl quadrilateral,88.278771
graham scan,circular,2097152,316742,akl octahedral,88.8656409
jarvis march,radial,4194304,549,no heuristic,332.5787659
jarvis march,radial,4194304,549,akl quadrilateral,1461.761194701
jarvis march,radial,4194304,549,akl octahedral,1939.049578799
graham scan,radial,4194304,549,no heuristic,3.5057116
graham scan,radial,4194304,549,akl quadrilateral,1346.1785046
graham scan,radial,4194304,549,akl octahedral,1808.2075698
jarvis march,rectangular,4194304,36,no heuristic,21.2788849
jarvis march,rectangular,4194304,36,akl quadrilateral,699.983137199
jarvis march,rectangular,4194304,36,akl octahedral,1836.220279699
graham scan,rectangular,4194304,36,no heuristic,3.1734027
graham scan,rectangular,4194304,36,akl quadrilateral,688.707161601
graham scan,rectangular,4194304,36,akl octahedral,1836.2222933
